Number of Records,Ace1,Ace2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,Break1,Break2,Country1,Country2,Double1,Double2,Error1,Error2,fastServe1,fastServe2,firstPointWon1,firstPointWon2,firstServe1,firstServe2,Gender,Net1,Net2,Player1,Player2,Results,Return1,Return2,Round,secPointWon1,secPointWon2,Total1,Total2,Winner1,Winner2,Winner,Year
1,4,6,183,182,142,151,0.33,1,ESP,GER,0,0,8,25,200,198,0.81,0.57,0.69,0.62,m,0.87,0.57,Rafael Nadal,Tommy Haas,6-4 6-2 6-2,0.49,0.19,Third,0.79,0.41,98,62,53,25,Rafael Nadal,2009
1,0,7,172,190,135,153,0.5,0.17,FRA,CRO,1,3,35,49,196,206,0.7,0.71,0.59,0.53,m,0.69,0.68,Gilles Simon,Mario Ancic,7-6(2) 6-4 6-2,0.42,0.36,Third,0.54,0.44,115,99,36,29,Gilles Simon,2009
1,7,1,167,177,153,145,0.64,0.25,ESP,TPE,1,2,21,33,196,190,0.74,0.58,0.75,0.63,m,0.88,0.57,Tommy Robredo,Yen-Hsun Lu,6-1 6-3 6-2,0.52,0.31,Third,0.56,0.31,86,56,32,12,Tommy Robredo,2009
1,22,4,195,169,171,134,0.36,0,USA,FRA,1,2,19,12,211,192,0.85,0.69,0.73,0.57,m,0.7,0.5,Andy Roddick,Fabrice Santoro,6-3 6-4 6-2,0.41,0.21,Third,0.65,0.47,90,62,50,20,Andy Roddick,2009
1,7,0,196,169,145,140,0.4,0.5,CRO,ESP,0,3,46,39,209,185,0.68,0.59,0.59,0.7,m,0.74,0.85,Marin Cilic,David Ferrer,7-6(5) 6-3 6-4,0.38,0.36,Third,0.59,0.7,103,94,33,13,Marin Cilic,2009
1,5,10,187,188,148,148,0.43,0.67,CYP,USA,4,4,29,45,200,219,0.8,0.6,0.54,0.54,m,0.78,0.47,Marcos Baghdatis,Mardy Fish,6-2 6-4 6-4,0.46,0.35,Third,0.47,0.47,105,89,34,27,Marcos Baghdatis,2009
1,9,9,193,187,161,146,0.25,0.14,CZE,SUI,3,2,46,49,208,204,0.77,0.66,0.63,0.51,m,0.74,0.62,Tomas Berdych,Stanislas Wawrinka,4-6 6-1 6-3 6-4,0.43,0.35,Third,0.44,0.48,136,119,49,39,Tomas Berdych,2009
1,11,16,193,206,153,171,0.38,0.11,SRB,BIH,4,6,27,56,208,224,0.79,0.77,0.65,0.59,m,0.65,0.68,Novak Djokovic,Amer Delic,6-2 4-6 6-3 7-6(4),0.37,0.31,Third,0.52,0.44,139,123,30,46,Novak Djokovic,2009
1,9,14,192,201,158,154,0.75,,SUI,RUS,1,2,28,33,208,212,0.85,0.63,0.6,0.51,m,0.46,0.43,Roger Federer,Marat Safin,6-3 6-2 7-6(5),0.39,0.24,Third,0.64,0.59,103,76,26,33,Roger Federer,2009
1,12,22,177,187,146,158,0.17,0.33,ARG,LUX,3,9,25,62,206,206,0.83,0.7,0.73,0.64,m,0.8,0.7,Juan Martin Del Potro,Gilles Muller,6-7(5) 7-5 6-3 7-5,0.4,0.23,Third,0.62,0.43,168,137,62,71,Juan Martin Del Potro,2009
1,14,4,,,0,0,0.5,0.33,CZE,GER,6,8,,,,,0.78,0.65,0.67,0.66,m,,,Radek Stepanek,Michael Berrer,6-3 6-2 6-7(3) 7-5,0.41,0.34,Second,0.43,0.47,148,126,,,Radek Stepanek,2009
1,7,5,188,183,153,146,0.31,0.33,FRA,UZB,4,2,29,35,211,196,0.78,0.67,0.53,0.6,m,0.7,0.67,Richard Gasquet,Denis Istomin,6-3 6-4 6-4,0.46,0.29,Second,0.63,0.34,106,76,35,21,Richard Gasquet,2009
1,8,3,,,0,0,0.8,0.67,ESP,ITA,4,5,,,,,0.8,0.61,0.55,0.52,m,,,Nicolas Almagro,Fabio Fognini,6-2 7-5 6-0,0.55,0.33,Second,0.5,0.29,93,60,,,Nicolas Almagro,2009
1,4,2,177,180,135,146,0.38,0.5,GBR,ESP,1,1,31,27,208,200,0.73,0.56,0.57,0.52,m,0.83,0.46,Andy Murray,Marcel Granollers,6-4 6-2 6-2,0.48,0.3,Second,0.65,0.47,100,72,37,18,Andy Murray,2009
1,4,9,177,182,148,142,0.28,0,USA,FRA,5,7,26,40,196,193,0.84,0.63,0.63,0.48,m,0.68,0.71,James Blake,Sebastien de Chaunac,6-3 6-2 6-3,0.47,0.27,Second,0.53,0.45,109,79,28,33,James Blake,2009
1,21,5,,,0,0,0.5,0.29,AUT,GER,2,10,,,,,0.71,0.6,0.55,0.55,m,,,Jurgen Melzer,Andreas Beck,5-7 7-6(7) 6-4 6-3,0.41,0.38,Second,0.52,0.57,148,140,,,Jurgen Melzer,2009
1,8,25,193,198,154,161,0.5,0.5,CRO,CRO,1,2,29,42,200,217,0.79,0.78,0.64,0.65,m,0.73,0.49,Mario Ancic,Ivo Karlovic,5-7 7-5 4-6 6-4 6-3,0.33,0.25,Second,0.68,0.46,149,137,51,49,Mario Ancic,2009
1,9,14,167,195,148,161,0.24,0.25,RUS,LAT,7,8,70,80,196,211,0.73,0.68,0.59,0.64,m,0.59,0.63,Igor Andreev,Ernests Gulbis,6-4 6-4 5-7 3-6 6-4,0.39,0.35,Second,0.54,0.49,179,173,44,53,Igor Andreev,2009
1,7,2,172,175,150,143,0.54,0,ESP,FRA,1,3,12,31,211,196,0.83,0.44,0.84,0.63,m,0.75,0.57,Fernando Verdasco,Arnaud Clement,6-1 6-1 6-2,0.56,0.18,Second,0.78,0.45,90,45,28,12,Fernando Verdasco,2009
1,5,1,,,0,0,0.42,0,ISR,ROU,3,3,,,,,0.78,0.66,0.67,0.71,m,,,Dudi Sela,Victor Hanescu,6-3 6-3 6-2,0.44,0.32,Second,0.48,0.32,102,78,,,Dudi Sela,2009
1,7,0,192,146,158,135,0.4,0.5,GER,ITA,2,8,27,29,201,163,0.74,0.56,0.51,0.76,m,0.66,0.56,Tommy Haas,Flavio Cipolla,6-1 6-2 6-1,0.55,0.3,Second,0.67,0.13,95,61,36,15,Tommy Haas,2009
1,14,12,175,188,135,161,0.45,0,FRA,AUS,2,3,15,37,195,211,0.84,0.65,0.54,0.63,m,0.8,0.45,Gilles Simon,Chris Guccione,6-7(5) 6-4 6-1 6-2,0.38,0.26,Second,0.61,0.58,132,107,53,41,Gilles Simon,2009
1,18,17,187,193,143,153,0.27,1,FRA,CRO,1,1,37,40,195,208,0.82,0.76,0.66,0.61,m,0.72,0.74,Jo-Wilfried Tsonga,Ivan Ljubicic,6-7(4) 7-6(8) 7-6(7) 6-2,0.29,0.25,Second,0.61,0.61,146,137,71,61,Jo-Wilfried Tsonga,2009
1,12,9,175,179,140,143,0.2,1,CHI,ARG,3,5,33,23,201,203,0.83,0.65,0.67,0.53,m,0.68,0.56,Fernando Gonzalez,Guillermo Canas,7-5 6-3 6-4,0.41,0.26,Second,0.55,0.53,112,93,52,32,Fernando Gonzalez,2009
1,3,2,183,167,143,132,0.86,0,ESP,CRO,2,2,17,14,195,187,0.75,0.69,0.68,0.66,m,0.73,0.65,Rafael Nadal,Roko Karanusic,6-2 6-3 6-2,0.45,0.3,Second,0.6,0.27,83,58,24,15,Rafael Nadal,2009
1,17,2,182,175,148,140,0.56,0.33,FRA,AUT,6,3,43,44,203,198,0.73,0.68,0.61,0.54,m,0.61,0.65,Gael Monfils,Stefan Koubek,6-4 6-4 3-6 6-2,0.35,0.3,Second,0.63,0.63,109,100,36,28,Gael Monfils,2009
1,18,1,200,172,159,146,0.42,0,RUS,ESP,3,6,23,35,212,183,0.85,0.63,0.52,0.66,m,0.64,0.6,Marat Safin,Guillermo Garcia-Lopez,7-5 6-2 6-2,0.42,0.23,Second,0.68,0.48,95,67,31,19,Marat Safin,2009
1,16,5,,,0,0,0.5,0.33,USA,ITA,2,2,,,,,0.84,0.66,0.52,0.63,m,,,Mardy Fish,Simone Bolelli,6-4 6-1 7-5,0.45,0.33,Second,0.5,0.37,100,75,,,Mardy Fish,2009
1,12,2,195,164,156,148,0.33,0,CZE,ARG,1,3,28,35,216,187,0.73,0.58,0.63,0.7,m,0.58,0.54,Tomas Berdych,Brian Dabul,6-1 6-1 6-3,0.52,0.25,Second,0.78,0.25,102,63,39,14,Tomas Berdych,2009
1,4,8,179,183,154,151,0.3,0,SUI,AUS,3,4,23,33,204,212,0.78,0.7,0.6,0.67,m,0.77,0.63,Stanislas Wawrinka,Brydan Klein,6-3 6-4 6-4,0.38,0.23,Second,0.75,0.45,100,81,32,22,Stanislas Wawrinka,2009
1,13,7,188,187,142,150,0.53,0.42,CYP,SWE,7,4,47,69,208,208,0.66,0.69,0.48,0.51,m,0.83,0.63,Marcos Baghdatis,Robin Soderling,3-6 7-5 6-3 6-3,0.46,0.38,Second,0.58,0.38,133,115,38,32,Marcos Baghdatis,2009
1,8,2,177,169,140,134,1,0,ESP,SVK,1,3,18,34,188,183,0.95,0.55,0.64,0.55,m,1,0.4,David Ferrer,Dominik Hrbaty,6-2 6-2 6-1,0.55,0.17,Second,0.62,0.33,78,34,20,6,David Ferrer,2009
1,7,3,192,193,151,167,1,0.5,SRB,FRA,1,0,17,32,200,204,0.75,0.61,0.71,0.61,m,0.75,0.37,Novak Djokovic,Jeremy Chardy,7-5 6-1 6-3,0.45,0.27,Second,0.68,0.45,89,61,33,23,Novak Djokovic,2009
1,7,4,,,0,0,0.44,,ESP,SRB,1,3,,,,,0.78,0.58,0.8,0.57,m,,,Tommy Robredo,Viktor Troicki,6-1 6-3 6-0,0.57,0.2,Second,0.91,0.24,88,44,,,Tommy Robredo,2009
1,19,11,200,179,171,137,0.38,0.67,USA,BEL,2,2,27,50,214,195,0.83,0.67,0.71,0.61,m,0.58,0.71,Andy Roddick,Xavier Malisse,4-6 6-2 7-6(1) 6-2,0.41,0.25,Second,0.55,0.48,128,101,45,44,Andy Roddick,2009
1,3,4,177,172,140,151,0.28,0.37,FRA,GER,3,4,34,69,193,196,0.67,0.59,0.55,0.68,m,0.76,0.74,Fabrice Santoro,Philipp Kohlschreiber,5-7 7-5 3-6 7-5 6-3,0.42,0.4,Second,0.51,0.56,181,174,51,94,Fabrice Santoro,2009
1,8,2,167,188,154,148,0.58,1,SUI,KAZ,3,3,15,44,198,201,0.71,0.54,0.6,0.51,m,0.67,0.52,Roger Federer,Evgeny Korolev,6-2 6-3 6-1,0.51,0.29,Second,0.7,0.44,89,59,25,26,Roger Federer,2009
1,33,11,,,0,0,0.27,0.5,BIH,FRA,5,4,,,,,0.69,0.73,0.59,0.67,m,,,Amer Delic,Paul-Henri Mathieu,1-6 3-6 6-3 7-6(3) 9-7,0.3,0.33,Second,0.64,0.63,153,158,,,Amer Delic,2009
1,9,5,183,180,150,148,0.57,0.35,TPE,ARG,4,8,60,61,196,192,0.71,0.66,0.63,0.5,m,0.69,0.74,Yen-Hsun Lu,David Nalbandian,6-4 5-7 4-6 6-4 6-2,0.41,0.36,Second,0.53,0.51,167,149,51,37,Yen-Hsun Lu,2009
