Number of Records,Ace1,Ace2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,Break1,Break2,Country1,Country2,Double1,Double2,Error1,Error2,fastServe1,fastServe2,firstPointWon1,firstPointWon2,firstServe1,firstServe2,Gender,Net1,Net2,Player1,Player2,Results,Return1,Return2,Round,secPointWon1,secPointWon2,Total1,Total2,Winner1,Winner2,Winner,Year
1,7,2,182,182,142,157,0.46,0,GBR,FRA,2,3,11,23,218,207,0.7,0.71,0.6,0.58,m,0.78,0.5,Andy Murray,Michael Llodra,6-4 6-2 6-0,0.51,0.3,Third,0.71,0.18,94,61,48,18,Andy Murray,2012
1,5,9,172,158,125,142,0.35,0.53,KAZ,FRA,2,11,72,55,201,199,0.64,0.64,0.66,0.65,m,0.61,0.53,Mikhail Kukushkin,Gael Monfils,6-2 7-5 5-7 1-6 6-4,0.45,0.42,Third,0.47,0.38,158,149,61,43,Mikhail Kukushkin,2012
1,4,7,168,170,133,133,0.54,0.86,JPN,FRA,4,3,30,51,194,201,0.68,0.6,0.7,0.67,m,0.57,0.6,Kei Nishikori,Julien Benneteau,4-6 7-6(3) 7-6(4) 6-3,0.46,0.37,Third,0.5,0.42,148,129,50,54,Kei Nishikori,2012
1,6,0,188,164,144,137,0.86,0,FRA,POR,1,1,20,20,215,182,0.84,0.48,0.54,0.71,m,0.67,0.47,Jo-Wilfried Tsonga,Frederico Gil,6-2 6-2 6-2,0.49,0.26,Third,0.63,0.6,85,53,35,13,Jo-Wilfried Tsonga,2012
1,4,1,180,173,145,128,0.63,0.33,GER,COL,0,1,33,37,211,195,0.79,0.65,0.52,0.66,m,0.83,0.71,Philipp Kohlschreiber,Alejandro Falla,6-3 6-2 7-6(3),0.44,0.28,Third,0.64,0.39,110,81,31,22,Philipp Kohlschreiber,2012
1,8,6,196,192,147,161,0.7,,ARG,TPE,1,3,13,40,217,203,0.85,0.56,0.57,0.58,m,0.8,0.59,Juan Martin Del Potro,Yen-Hsun Lu,6-2 6-3 6-0,0.52,0.27,Third,0.58,0.36,79,48,17,18,Juan Martin Del Potro,2012
1,13,22,178,193,145,135,0.44,0.33,AUS,UKR,2,3,61,78,198,209,0.63,0.78,0.69,0.45,m,0.62,0.7,Bernard Tomic,Alexandr Dolgopolov,4-6 7-6(0) 7-6(6) 2-6 6-3,0.36,0.39,Third,0.56,0.53,174,174,41,80,Bernard Tomic,2012
1,9,15,182,199,150,169,0.33,0,SUI,CRO,0,3,13,35,203,211,0.8,0.76,0.62,0.71,m,0.69,0.52,Roger Federer,Ivo Karlovic,7-6(6) 7-5 6-3,0.36,0.22,Third,0.74,0.34,120,98,55,40,Roger Federer,2012
1,14,16,197,192,153,167,0.18,0,CZE,RSA,6,5,28,40,220,210,0.81,0.71,0.53,0.69,m,0.76,0.44,Tomas Berdych,Kevin Anderson,7-6(5) 7-6(1) 6-1,0.39,0.27,Third,0.64,0.41,124,102,49,41,Tomas Berdych,2012
1,6,4,187,173,143,133,0.38,1,ESP,SUI,0,2,26,49,212,202,0.72,0.57,0.56,0.53,m,0.67,0.5,Nicolas Almagro,Stanislas Wawrinka,7-6(2) 6-2 6-4,0.47,0.32,Third,0.63,0.47,116,90,31,30,Nicolas Almagro,2012
1,16,30,192,197,162,175,0.55,0.25,ESP,USA,12,3,30,51,216,217,0.76,0.72,0.56,0.73,m,0.71,0.64,Feliciano Lopez,John Isner,6-3 6-7(3) 6-4 6-7(0) 6-1,0.35,0.29,Third,0.64,0.44,160,140,55,64,Feliciano Lopez,2012
1,2,8,172,179,132,151,0.5,0.2,ESP,SVK,0,3,19,30,197,202,0.85,0.6,0.81,0.67,m,0.75,0.7,Rafael Nadal,Lukas Lacko,6-2 6-4 6-2,0.46,0.22,Third,0.46,0.42,89,57,27,17,Rafael Nadal,2012
1,9,3,188,183,148,148,0.54,0.5,SRB,COL,2,3,21,39,201,200,0.81,0.63,0.55,0.52,m,0.69,0.5,Novak Djokovic,Santiago Giraldo,6-3 6-2 6-1,0.52,0.26,Second,0.66,0.31,86,52,27,13,Novak Djokovic,2012
1,8,3,166,170,137,139,0.44,0.55,FRA,JPN,2,5,46,54,192,205,0.64,0.62,0.69,0.62,m,0.64,0.53,Nicolas Mahut,Tatsuma Ito,1-6 7-6(6) 6-2 6-2,0.45,0.45,Second,0.37,0.44,123,123,28,39,Nicolas Mahut,2012
1,17,10,204,187,165,138,0.71,0.18,CAN,GER,6,4,38,44,225,214,0.81,0.79,0.54,0.54,m,0.53,0.66,Milos Raonic,Philipp Petzschner,6-4 5-7 6-2 7-5,0.39,0.32,Second,0.54,0.4,136,122,47,38,Milos Raonic,2012
1,11,9,172,193,138,166,0.43,0.4,AUS,USA,2,2,27,22,195,219,0.82,0.68,0.58,0.62,m,0.68,0.44,Lleyton Hewitt,Andy Roddick,3-6 6-3 6-4 ret.,0.37,0.31,Second,0.52,0.54,88,81,41,28,Lleyton Hewitt,2012
1,11,10,184,174,145,129,0.31,0.6,SRB,AUS,3,6,31,53,199,207,0.8,0.66,0.56,0.66,m,0.71,0.69,Janko Tipsarevic,James Duckworth,3-6 6-2 7-6(5) 6-4,0.41,0.29,Second,0.61,0.44,135,115,42,45,Janko Tipsarevic,2012
1,5,4,177,169,143,153,0.35,1,FRA,KAZ,0,5,10,27,204,193,0.78,0.46,0.6,0.66,m,0.68,0.62,Richard Gasquet,Andrey Golubev,6-4 6-2 3-0 ret.,0.54,0.33,Second,0.5,0.46,84,58,33,27,Richard Gasquet,2012
1,1,0,161,172,129,145,0.53,0.42,ARG,ESP,3,6,27,62,187,191,0.6,0.51,0.7,0.57,m,0.64,0.7,Juan Ignacio Chela,Pablo Andujar,6-4 6-4 6-3,0.54,0.43,Second,0.52,0.39,103,82,17,33,Juan Ignacio Chela,2012
1,6,5,171,183,142,154,0.7,0.3,ESP,USA,6,9,37,73,190,207,0.68,0.64,0.67,0.63,m,0.53,0.74,David Ferrer,Ryan Sweeting,6-7(4) 6-2 3-6 6-2 6-3,0.43,0.37,Second,0.54,0.45,155,137,36,48,David Ferrer,2012
1,9,2,181,182,140,149,0.33,0,GBR,FRA,2,2,19,33,217,195,0.85,0.66,0.68,0.56,m,0.78,0.67,Andy Murray,Edouard Roger-Vasselin,6-1 6-4 6-4,0.44,0.23,Second,0.6,0.43,101,71,41,29,Andy Murray,2012
1,12,1,,,,,0.65,0.57,FRA,RUS,8,6,8,6,,,0.66,0.58,0.59,0.77,m,,,Michael Llodra,Alex Jr. Bogomolov,6-1 6-3 4-6 5-7 6-4,0.47,0.41,Second,0.48,0.34,151,135,12,1,Michael Llodra,2012
1,5,7,173,184,126,132,0.39,0.45,KAZ,SRB,3,2,56,64,197,210,0.71,0.63,0.63,0.53,m,0.49,0.63,Mikhail Kukushkin,Viktor Troicki,5-7 6-4 6-2 4-6 6-3,0.42,0.35,Second,0.55,0.53,154,138,48,32,Mikhail Kukushkin,2012
1,3,1,175,178,148,144,0.44,0.25,FRA,BRA,5,2,37,53,210,200,0.69,0.62,0.61,0.56,m,0.62,0.61,Gael Monfils,Thomaz Bellucci,2-6 6-0 6-4 6-2,0.47,0.39,Second,0.49,0.42,121,103,34,29,Gael Monfils,2012
1,6,3,174,159,131,132,0.39,0.47,FRA,FRA,6,3,55,40,203,201,0.63,0.64,0.63,0.64,m,0.66,0.63,Julien Benneteau,Gilles Simon,7-5 7-6(8) 1-6 3-6 6-2,0.42,0.42,Second,0.5,0.48,163,165,58,55,Julien Benneteau,2012
1,2,6,168,179,137,142,0.42,0.5,JPN,AUS,3,2,57,54,197,200,0.61,0.67,0.67,0.66,m,0.56,0.64,Kei Nishikori,Matthew Ebden,3-6 1-6 6-4 6-1 6-1,0.42,0.42,Second,0.52,0.4,127,126,38,31,Kei Nishikori,2012
1,3,7,,,0,0,0.4,0.5,POR,ESP,0,5,0,5,,,0.7,0.7,0.7,0.59,m,,,Frederico Gil,Marcel Granollers,6-3 4-6 6-4 6-3,0.42,0.34,Second,0.58,0.4,124,108,3,7,Frederico Gil,2012
1,15,2,183,162,138,135,0.5,0.33,FRA,BRA,3,7,44,19,214,180,0.74,0.67,0.73,0.51,m,0.76,0.62,Jo-Wilfried Tsonga,Ricardo Mello,7-5 6-4 6-4,0.41,0.32,Second,0.52,0.51,102,86,54,18,Jo-Wilfried Tsonga,2012
1,5,5,171,181,135,144,0.83,0.36,COL,USA,1,0,34,58,198,213,0.65,0.62,0.59,0.62,m,0.77,0.61,Alejandro Falla,Mardy Fish,7-6(4) 6-3 7-6(6),0.43,0.38,Second,0.58,0.49,116,102,30,35,Alejandro Falla,2012
1,1,0,174,178,152,137,0.71,0,GER,ESP,1,2,7,18,203,195,0.9,0.47,0.77,0.42,m,1,0.43,Philipp Kohlschreiber,Pere Riba,6-0 4-0 ret.,0.67,0.19,Second,0.5,0.24,45,17,16,5,Philipp Kohlschreiber,2012
1,4,5,,,0,0,0.42,0,TPE,FRA,2,3,2,3,,,0.89,0.6,0.69,0.61,m,,,Yen-Hsun Lu,Florent Serra,7-5 6-2 6-2,0.46,0.16,Second,0.71,0.44,106,68,4,5,Yen-Hsun Lu,2012
1,14,3,186,179,144,149,0.58,1,ARG,SLO,5,9,35,38,207,210,0.76,0.67,0.64,0.57,m,0.6,0.69,Juan Martin Del Potro,Blaz Kavcic,6-4 7-5 6-3,0.48,0.34,Second,0.48,0.32,109,86,41,22,Juan Martin Del Potro,2012
1,16,2,189,175,129,151,0.45,0.38,UKR,GER,4,9,73,63,212,192,0.76,0.57,0.61,0.59,m,0.7,0.57,Alexandr Dolgopolov,Tobias Kamke,4-6 6-1 6-1 3-6 8-6,0.44,0.37,Second,0.43,0.55,163,143,61,30,Alexandr Dolgopolov,2012
1,6,22,174,199,141,151,0.3,0.67,AUS,USA,1,7,29,50,198,218,0.77,0.85,0.68,0.62,m,0.82,0.6,Bernard Tomic,Sam Querrey,3-6 6-3 7-6(3) 6-3,0.32,0.27,Second,0.66,0.4,125,112,30,52,Bernard Tomic,2012
1,20,1,,,0,0,0.33,0.25,CRO,ARG,2,2,2,2,,,0.72,0.72,0.66,0.75,m,,,Ivo Karlovic,Carlos Berlocq,7-6(4) 3-6 6-3 6-4,0.35,0.31,Second,0.62,0.46,139,131,20,1,Ivo Karlovic,2012
1,21,1,191,163,151,134,0.63,0,CZE,BEL,1,0,36,19,215,176,0.91,0.6,0.58,0.6,m,0.71,0.89,Tomas Berdych,Olivier Rochus,6-1 6-0 7-6(4),0.43,0.23,Second,0.58,0.53,94,64,47,10,Tomas Berdych,2012
1,15,10,,,0,0,0.44,0.67,RSA,UKR,4,4,4,4,,,0.78,0.74,0.69,0.52,m,,,Kevin Anderson,Sergiy Stakhovsky,3-6 6-1 7-6(3) 6-3,0.35,0.31,Second,0.5,0.56,119,107,15,10,Kevin Anderson,2012
1,4,1,185,184,150,149,0.53,0.42,SUI,CYP,5,8,67,59,210,205,0.72,0.58,0.51,0.52,m,0.65,0.6,Stanislas Wawrinka,Marcos Baghdatis,7-6(3) 6-4 5-7 6-1,0.48,0.39,Second,0.49,0.45,146,124,41,19,Stanislas Wawrinka,2012
1,9,13,183,188,141,157,0.36,0.43,ESP,BUL,2,5,39,51,207,211,0.7,0.71,0.64,0.58,m,0.64,0.7,Nicolas Almagro,Grigor Dimitrov,4-6 6-3 6-7(4) 6-4 6-0,0.42,0.33,Second,0.63,0.39,163,138,43,49,Nicolas Almagro,2012
1,43,7,198,175,166,147,0.4,0.33,USA,ARG,2,5,69,33,224,196,0.72,0.73,0.63,0.64,m,0.54,0.73,John Isner,David Nalbandian,4-6 6-3 2-6 7-6(5) 10-8,0.33,0.36,Second,0.51,0.58,181,187,88,67,John Isner,2012
1,6,0,187,149,151,124,0.5,0.43,ESP,ITA,5,2,34,36,212,170,0.75,0.54,0.53,0.84,m,0.71,0.55,Feliciano Lopez,Flavio Cipolla,7-5 7-6(4) 6-2,0.46,0.37,Second,0.5,0.56,111,92,34,32,Feliciano Lopez,2012
1,9,2,178,163,141,131,0.42,0.2,SVK,USA,1,2,38,37,201,196,0.72,0.68,0.64,0.57,m,0.82,0.62,Lukas Lacko,Donald Young,6-3 6-1 3-6 6-3,0.41,0.31,Second,0.64,0.48,116,94,45,27,Lukas Lacko,2012
1,2,8,176,187,135,156,0.6,0.5,ESP,GER,2,4,17,38,196,203,0.75,0.61,0.64,0.63,m,0.82,0.55,Rafael Nadal,Tommy Haas,6-4 6-3 6-4,0.45,0.33,Second,0.55,0.46,96,78,36,30,Rafael Nadal,2012
1,4,0,178,177,147,145,0.69,0.2,SRB,ITA,1,5,13,30,197,188,0.73,0.56,0.73,0.52,m,0.81,0.58,Novak Djokovic,Paolo Lorenzi,6-2 6-0 6-0,0.67,0.34,First,0.47,0.07,82,41,22,10,Novak Djokovic,2012
1,0,2,,,0,0,0.4,0.33,COL,ITA,1,4,1,4,,,0.76,0.55,0.61,0.59,m,,,Santiago Giraldo,Matteo Viola,6-4 6-2 6-1,0.53,0.26,First,0.71,0.36,88,54,0,2,Santiago Giraldo,2012
1,11,9,178,173,134,143,0.56,0.29,JPN,ITA,3,3,28,32,208,192,0.8,0.68,0.58,0.71,m,0.61,0.73,Tatsuma Ito,Potito Starace,6-3 4-6 6-3 6-4,0.34,0.3,First,0.55,0.6,113,102,44,29,Tatsuma Ito,2012
1,7,3,181,173,142,146,0.38,0.33,FRA,CZE,4,3,23,22,199,192,0.79,0.59,0.59,0.68,m,0.62,0.55,Nicolas Mahut,Radek Stepanek,7-5 7-5 6-3,0.46,0.38,First,0.38,0.42,116,97,40,38,Nicolas Mahut,2012
1,13,0,,,0,0,0.5,0,CAN,ITA,4,5,4,5,,,0.84,0.57,0.62,0.44,m,,,Milos Raonic,Filippo Volandri,6-4 6-0 6-2,0.5,0.26,First,0.58,0.45,93,60,13,0,Milos Raonic,2012
1,10,7,,,0,0,0.64,1,GER,CZE,2,5,2,5,,,0.87,0.45,0.56,0.56,m,,,Philipp Petzschner,Lukas Rosol,6-0 6-0 6-2,0.62,0.29,First,0.5,0.3,91,48,10,7,Philipp Petzschner,2012
1,8,13,173,181,140,143,0.32,0.4,AUS,GER,2,6,33,64,196,196,0.76,0.66,0.55,0.59,m,0.63,0.62,Lleyton Hewitt,Cedrik-Marcel Stebe,7-5 6-4 3-6 7-5,0.4,0.36,First,0.49,0.5,144,137,29,59,Lleyton Hewitt,2012
1,13,7,198,190,159,150,0.46,0.2,USA,NED,1,6,20,32,224,203,0.73,0.67,0.72,0.51,m,0.62,0.47,Andy Roddick,Robin Haase,6-3 6-4 6-1,0.47,0.29,First,0.64,0.38,91,63,35,30,Andy Roddick,2012
1,28,9,,,0,0,0.38,0.5,SRB,RUS,4,5,4,5,,,0.82,0.75,0.68,0.6,m,,,Janko Tipsarevic,Dmitry Tursunov,5-7 7-6(12) 6-3 6-4,0.35,0.26,First,0.56,0.5,146,128,28,9,Janko Tipsarevic,2012
1,11,6,165,179,131,143,0.44,0.25,AUS,EST,3,4,24,33,212,204,0.79,0.67,0.63,0.6,m,0.59,0.58,James Duckworth,Jurgen Zopp,6-3 6-4 6-4,0.4,0.29,First,0.58,0.48,94,72,24,19,James Duckworth,2012
1,12,7,,,0,0,0.5,0.32,KAZ,RUS,10,6,10,6,,,0.66,0.62,0.62,0.62,m,,,Andrey Golubev,Mikhail Youzhny,7-5 6-7(4) 6-4 4-6 6-3,0.45,0.43,First,0.42,0.43,196,189,12,7,Andrey Golubev,2012
1,10,8,174,174,140,132,0.41,0.5,FRA,ITA,3,6,45,44,201,195,0.78,0.6,0.65,0.51,m,0.55,0.62,Richard Gasquet,Andreas Seppi,6-3 3-6 6-3 6-1,0.47,0.34,First,0.44,0.45,117,93,44,31,Richard Gasquet,2012
1,5,3,163,162,131,140,0.5,0.45,ARG,USA,1,7,26,72,191,196,0.62,0.56,0.58,0.61,m,0.57,0.73,Juan Ignacio Chela,Michael Russell,7-6(3) 6-3 6-4,0.47,0.38,First,0.61,0.47,128,106,28,48,Juan Ignacio Chela,2012
1,4,1,,,0,0,0.64,0.57,ESP,RUS,4,3,4,3,,,0.74,0.55,0.62,0.6,m,,,Pablo Andujar,Igor Kunitsyn,6-1 7-6(12) 6-0,0.55,0.4,First,0.39,0.31,102,75,4,1,Pablo Andujar,2012
1,8,4,,,0,0,0.5,0,USA,GER,5,4,5,4,,,0.85,0.7,0.7,0.6,m,,,Ryan Sweeting,Matthias Bachinger,6-4 6-4 6-2,0.39,0.23,First,0.58,0.47,98,75,8,4,Ryan Sweeting,2012
1,2,0,169,157,139,125,0.78,0.5,ESP,POR,1,4,20,52,192,188,0.85,0.5,0.59,0.67,m,0.5,0.4,David Ferrer,Rui Machado,6-1 6-4 6-2,0.53,0.29,First,0.5,0.41,91,58,15,20,David Ferrer,2012
1,7,9,175,191,136,163,0.33,0.29,GBR,USA,5,8,40,61,213,215,0.71,0.66,0.54,0.62,m,0.7,0.68,Andy Murray,Ryan Harrison,4-6 6-3 6-4 6-2,0.41,0.34,First,0.6,0.48,129,113,39,47,Andy Murray,2012
1,6,3,,,0,0,0.14,0.5,FRA,BEL,0,2,0,2,,,0.74,0.74,0.72,0.54,m,,,Edouard Roger-Vasselin,Xavier Malisse,7-6(6) ret.,0.39,0.28,First,0.67,0.46,53,47,6,3,Edouard Roger-Vasselin,2012
1,11,6,,,0,0,0.35,0.18,FRA,LAT,2,8,2,8,,,0.71,0.66,0.75,0.58,m,,,Michael Llodra,Ernests Gulbis,2-6 6-1 6-2 6-2,0.45,0.33,First,0.56,0.4,110,86,11,6,Michael Llodra,2012
1,3,4,,,,,0.5,0.5,RUS,ESP,0,4,0,4,,,0.71,0.53,0.88,0.68,m,,,Alex Jr. Bogomolov,Daniel Gimeno-Traver,6-3 6-2 6-4,0.51,0.31,First,0.56,0.42,112,81,3,4,Alex Jr. Bogomolov,2012
1,27,3,,,0,0,0.5,0.33,SRB,ESP,3,3,3,3,,,0.81,0.66,0.6,0.63,m,,,Viktor Troicki,Juan Carlos Ferrero,4-6 6-7(3) 6-2 7-6(3) 6-2,0.37,0.32,First,0.49,0.59,170,154,27,3,Viktor Troicki,2012
1,5,1,,,0,0,0.55,0.5,KAZ,ESP,0,3,0,3,,,0.76,0.55,0.6,0.64,m,,,Mikhail Kukushkin,Guillermo Garcia-Lopez,6-4 6-3 6-0,0.47,0.28,First,0.67,0.5,90,62,5,1,Mikhail Kukushkin,2012
1,10,7,,,0,0,0.5,0.33,BRA,ISR,4,5,4,5,,,0.81,0.65,0.47,0.55,m,,,Thomaz Bellucci,Dudi Sela,7-6(5) 6-4 6-3,0.42,0.31,First,0.58,0.5,118,100,10,7,Thomaz Bellucci,2012
1,12,3,173,176,139,137,0.45,0.2,FRA,AUS,6,7,31,53,213,196,0.72,0.66,0.54,0.55,m,0.58,0.69,Gael Monfils,Marinko Matosevic,7-6(5) 6-3 6-3,0.47,0.38,First,0.51,0.37,122,102,32,34,Gael Monfils,2012
1,14,4,172,168,126,139,0.77,0.45,FRA,THA,2,4,51,54,197,198,0.67,0.58,0.54,0.61,m,0.68,0.76,Gilles Simon,Danai Udomchoke,6-1 3-6 6-7(5) 6-3 6-2,0.46,0.35,First,0.63,0.49,150,121,53,31,Gilles Simon,2012
1,6,7,,,0,0,0.42,0.33,FRA,SVK,3,2,3,2,,,0.7,0.62,0.63,0.56,m,,,Julien Benneteau,Karol Beck,6-4 6-2 7-5,0.43,0.29,First,0.74,0.51,98,75,6,7,Julien Benneteau,2012
1,10,8,182,182,140,151,0.25,0.5,AUS,BRA,3,2,32,52,199,202,0.82,0.63,0.7,0.65,m,0.63,0.69,Matthew Ebden,Joao Souza,6-3 7-6(1) 6-2,0.45,0.27,First,0.52,0.41,114,85,34,32,Matthew Ebden,2012
1,7,2,169,180,137,136,0.58,0.33,JPN,FRA,0,7,25,35,189,194,0.77,0.62,0.71,0.49,m,0.64,0.76,Kei Nishikori,Stephane Robert,6-1 7-6(7) 6-0,0.52,0.31,First,0.48,0.34,107,71,35,26,Kei Nishikori,2012
1,24,7,,,0,0,0.31,0.43,ESP,CAN,5,3,5,3,,,0.84,0.67,0.63,0.69,m,,,Marcel Granollers,Jesse Levine,6-0 7-6(4) 5-7 5-7 6-3,0.4,0.3,First,0.47,0.45,173,148,24,7,Marcel Granollers,2012
1,3,6,,,0,0,0.67,0.21,POR,CRO,0,4,0,4,,,0.64,0.63,0.72,0.51,m,,,Frederico Gil,Ivan Dodig,2-6 6-1 6-1 4-1 ret.,0.55,0.36,First,0.64,0.26,94,64,3,6,Frederico Gil,2012
1,3,6,,,,,0.58,0.44,BRA,ESP,4,9,4,9,,,0.68,0.63,0.67,0.56,m,,,Ricardo Mello,Roberto Bautista-Agut,6-4 6-4 7-5,0.49,0.37,First,0.55,0.37,122,100,3,6,Ricardo Mello,2012
1,11,9,190,186,129,139,0.67,0.33,FRA,UZB,5,3,45,49,221,207,0.71,0.64,0.49,0.69,m,0.7,0.55,Jo-Wilfried Tsonga,Denis Istomin,6-4 3-6 6-2 7-5,0.39,0.37,First,0.56,0.54,120,112,44,31,Jo-Wilfried Tsonga,2012
1,11,9,182,182,138,156,0.31,0,USA,LUX,2,2,12,39,213,201,0.91,0.69,0.62,0.66,m,0.78,0.59,Mardy Fish,Gilles Muller,6-4 6-4 6-2,0.39,0.19,First,0.64,0.45,97,73,30,30,Mardy Fish,2012
1,5,2,,,0,0,0.64,0.29,COL,ITA,3,8,3,8,,,0.68,0.65,0.66,0.55,m,,,Alejandro Falla,Fabio Fognini,6-3 6-2 3-6 6-1,0.47,0.37,First,0.53,0.38,130,107,5,2,Alejandro Falla,2012
1,16,2,,,0,0,0.36,0.43,ESP,ESP,3,7,3,7,,,0.7,0.66,0.61,0.66,m,,,Pere Riba,Albert Montanes,7-6(2) 2-6 6-4 7-6(5),0.4,0.39,First,0.48,0.49,143,145,16,2,Pere Riba,2012
1,9,2,175,168,143,147,0.57,0.38,GER,ARG,2,1,61,67,205,203,0.76,0.62,0.59,0.71,m,0.65,0.8,Philipp Kohlschreiber,Juan Monaco,7-5 4-6 6-3 6-7(4) 6-0,0.42,0.31,First,0.59,0.5,163,134,54,30,Philipp Kohlschreiber,2012
1,7,10,,,0,0,0.5,0.33,TPE,RSA,4,0,4,0,,,0.78,0.67,0.59,0.67,m,,,Yen-Hsun Lu,Rik de Voest,6-4 3-6 6-1 3-6 6-3,0.38,0.35,First,0.46,0.52,137,130,7,10,Yen-Hsun Lu,2012
1,5,4,,,0,0,0.3,0.38,FRA,BEL,2,1,2,1,,,0.58,0.65,0.61,0.75,m,,,Florent Serra,Steve Darcis,6-7(3) 3-6 5-4 ret.,0.39,0.45,First,0.5,0.48,99,110,5,4,Florent Serra,2012
1,2,7,,,0,0,0.45,0.43,SLO,GBR,5,3,5,3,,,0.74,0.67,0.6,0.47,m,,,Blaz Kavcic,James Ward,6-4 6-3 6-4,0.45,0.36,First,0.5,0.45,99,78,2,7,Blaz Kavcic,2012
1,12,7,187,169,158,143,0.75,0.31,ARG,FRA,6,3,39,49,206,197,0.75,0.7,0.58,0.68,m,0.45,0.76,Juan Martin Del Potro,Adrian Mannarino,2-6 6-1 7-5 6-4,0.42,0.4,First,0.4,0.34,125,114,35,44,Juan Martin Del Potro,2012
1,15,8,181,181,117,140,0.44,0.8,UKR,AUS,1,8,34,42,203,211,0.79,0.69,0.57,0.54,m,0.7,0.63,Alexandr Dolgopolov,Greg Jones,1-6 4-6 6-1 6-1 6-2,0.45,0.3,First,0.57,0.38,119,94,46,29,Alexandr Dolgopolov,2012
1,1,1,,,0,0,0.33,1,GER,ROU,3,1,3,1,,,0.73,0.45,0.56,0.75,m,,,Tobias Kamke,Victor Hanescu,6-2 6-1 6-2,0.57,0.32,First,0.62,0.38,99,62,1,1,Tobias Kamke,2012
1,12,5,,,0,0,0.63,0,USA,FRA,4,7,4,7,,,0.89,0.7,0.58,0.52,m,,,Sam Querrey,Kenny de Schepper,6-3 6-2 6-2,0.46,0.27,First,0.5,0.35,92,60,12,5,Sam Querrey,2012
1,7,15,175,185,140,160,0.33,0.31,AUS,ESP,3,11,60,83,197,218,0.7,0.66,0.61,0.6,m,0.74,0.64,Bernard Tomic,Fernando Verdasco,4-6 6-7(3) 6-4 6-2 7-5,0.4,0.36,First,0.53,0.49,181,168,44,57,Bernard Tomic,2012
1,24,2,,,0,0,0.5,0.29,CRO,AUT,3,8,3,8,,,0.75,0.71,0.78,0.65,m,,,Ivo Karlovic,Jurgen Melzer,7-6(3) 7-5 6-3,0.38,0.32,First,0.43,0.44,110,96,24,2,Ivo Karlovic,2012
1,9,8,,,0,0,0.42,0.38,ARG,NED,3,12,3,12,,,0.74,0.78,0.67,0.52,m,,,Carlos Berlocq,Jesse Huta Galung,2-6 6-3 7-6(3) 6-3,0.4,0.39,First,0.36,0.4,127,122,9,8,Carlos Berlocq,2012
1,2,14,,,0,0,0.43,0.3,GER,FRA,8,3,8,3,,,0.73,0.55,0.63,0.69,m,,,Andreas Beck,Eric Prodon,6-4 6-2 4-6 7-5,0.41,0.36,First,0.49,0.68,133,120,2,14,Andreas Beck,2012
1,14,4,181,195,,,0.46,0.25,SUI,RUS,2,4,33,42,207,209,0.8,0.65,0.63,0.42,m,0.44,0.67,Roger Federer,Alexander Kudryavtsev,7-5 6-2 6-2,0.49,0.29,First,0.56,0.4,106,70,43,21,Roger Federer,2012
1,7,4,192,166,142,141,0.71,0.5,CZE,ESP,6,4,43,51,214,192,0.88,0.69,0.52,0.52,m,0.57,0.88,Tomas Berdych,Albert Ramos,7-5 4-6 6-2 6-3,0.39,0.29,First,0.52,0.52,124,102,39,24,Tomas Berdych,2012
1,7,2,,,0,0,0.7,0.25,BEL,GER,1,4,1,4,,,0.8,0.45,0.6,0.49,m,,,Olivier Rochus,Bjorn Phau,6-1 6-4 6-0,0.57,0.25,First,0.67,0.41,87,44,7,2,Olivier Rochus,2012
1,13,2,,,0,0,0.32,0.31,UKR,UKR,9,18,9,18,,,0.66,0.68,0.64,0.55,m,,,Sergiy Stakhovsky,Illya Marchenko,6-3 6-7(9) 4-6 6-3 7-5,0.43,0.39,First,0.52,0.43,198,177,13,2,Sergiy Stakhovsky,2012
1,5,0,,,0,0,0.46,0.17,RSA,DEN,4,3,4,3,,,0.75,0.58,0.64,0.6,m,,,Kevin Anderson,Frederik Nielsen,6-1 6-2 6-4,0.51,0.33,First,0.55,0.34,99,67,5,0,Kevin Anderson,2012
1,2,3,174,168,143,140,0.64,0.09,SUI,FRA,3,6,20,42,204,192,0.69,0.62,0.6,0.54,m,0.58,0.85,Stanislas Wawrinka,Benoit Paire,6-1 6-1 7-5,0.53,0.34,First,0.62,0.29,109,72,24,24,Stanislas Wawrinka,2012
1,18,5,190,180,154,143,0.75,0.17,CYP,GER,1,1,23,38,208,208,0.92,0.73,0.45,0.56,m,0.69,0.64,Marcos Baghdatis,Benjamin Becker,6-1 7-6(5) 6-2,0.43,0.26,First,0.59,0.37,93,66,38,23,Marcos Baghdatis,2012
1,12,19,190,197,155,155,0.27,0.14,BUL,FRA,6,8,38,49,212,212,0.74,0.83,0.58,0.54,m,0.76,0.66,Grigor Dimitrov,Jeremy Chardy,4-6 6-3 3-6 6-4 6-4,0.34,0.35,First,0.52,0.48,148,148,41,59,Grigor Dimitrov,2012
1,15,7,180,187,140,163,0.36,0.25,ESP,POL,3,16,12,60,215,211,0.76,0.72,0.64,0.54,m,0.55,0.63,Nicolas Almagro,Lukasz Kubot,1-6 7-5 6-3 7-5,0.4,0.35,First,0.47,0.47,138,127,40,56,Nicolas Almagro,2012
